Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
1,4,49,1,1977,1,17,1
1,2,12,1,1979,5,25,1
1,3,32,1,1979,10,22,1
1,2,18,1,1981,3,9,1
1,2,51,1,1982,8,10,1
2,5,48,1,1982,12,7,1
1,2,1,1,1983,4,22,1
1,3,28,1,1983,9,2,1
1,2,12,1,1983,11,30,1
2,2,22,1,1983,12,14,1
1,2,13,1,1983,12,15,1
1,2,12,1,1984,1,26,1
2,2,22,1,1984,2,29,1
1,5,48,1,1984,3,14,1
1,5,37,1,1984,3,16,1
1,5,48,1,1984,3,31,1
1,2,22,1,1984,4,5,1
1,2,12,1,1984,4,5,1
2,2,12,1,1984,5,10,1
1,2,12,1,1984,6,20,1
2,2,13,1,1984,7,12,1
2,2,12,1,1984,7,13,1
1,2,12,1,1984,9,7,1
1,2,22,1,1984,9,10,1
2,2,12,1,1984,9,20,1
2,2,51,1,1984,10,12,1
2,2,22,1,1984,10,30,1
1,5,48,1,1984,10,30,1
1,5,37,2,1984,11,2,1
1,2,12,1,1984,11,8,1
2,2,13,1,1984,12,12,1
1,2,22,1,1984,12,28,1
1,2,22,1,1985,1,4,1
2,2,13,1,1985,1,9,1
1,2,45,1,1985,1,11,1
1,5,48,1,1985,1,16,1
1,2,12,1,1985,1,30,1
2,2,13,1,1985,2,20,1
1,2,12,1,1985,3,6,1
1,5,48,1,1985,3,13,1
2,2,13,1,1985,3,20,1
2,2,51,1,1985,4,18,1
5,5,48,1,1985,5,15,1
2,2,12,1,1985,5,29,1
2,5,48,1,1985,6,25,1
2,2,51,1,1985,6,25,1
5,5,48,1,1985,7,9,1
1,5,48,1,1985,9,11,1
1,2,18,1,1985,10,16,1
1,5,32,1,1985,12,6,1
1,2,45,1,1986,1,10,1
1,5,48,1,1986,3,12,1
2,2,1,1,1986,3,21,1
2,2,12,1,1986,4,15,1
1,5,48,1,1986,4,16,1
2,2,12,1,1986,4,22,1
1,5,48,1,1986,5,15,1
1,2,12,1,1986,5,20,1
5,5,48,1,1986,6,9,1
1,5,48,1,1986,6,19,1
2,2,13,1,1986,6,24,1
2,2,51,1,1986,7,31,1
1,5,48,1,1986,8,20,1
2,5,48,1,1986,8,22,1
1,5,48,1,1986,8,26,1
1,5,37,1,1986,9,19,1
2,5,48,1,1986,12,4,1
5,5,48,1,1986,12,18,1
5,5,48,1,1987,1,30,1
5,5,48,1,1987,3,4,1
2,2,13,1,1987,5,15,1
2,3,28,1,1987,5,20,1
2,2,13,1,1987,5,22,1
2,5,48,1,1987,5,28,1
1,2,13,1,1987,5,29,1
1,2,22,1,1987,6,7,1
2,2,22,1,1987,6,9,1
1,2,22,1,1987,6,12,1
1,2,22,1,1987,6,16,1
2,5,48,1,1987,6,24,1
1,2,51,1,1987,7,6,1
1,5,48,1,1987,7,8,1
2,3,28,1,1987,7,8,1
2,2,22,1,1987,7,20,1
2,2,22,1,1987,7,24,1
1,2,22,1,1987,7,30,1
1,2,22,1,1987,8,24,1
2,2,12,1,1987,8,28,1
1,2,1,1,1987,8,28,1
2,5,49,1,1987,8,28,1
2,2,13,1,1987,9,1,1
1,5,48,1,1987,9,10,1
1,2,13,1,1987,9,21,1
1,5,48,1,1988,1,7,1
2,2,12,1,1988,3,15,1
1,2,22,1,1988,3,15,1
2,2,22,1,1988,4,13,1
2,2,51,1,1988,4,14,1
1,5,49,1,1988,6,10,1
1,2,22,1,1988,6,14,1
1,2,13,1,1988,7,28,1
2,5,48,1,1988,11,3,1
1,2,12,1,1988,11,7,1
2,5,48,1,1988,12,13,1
1,5,29,1,1989,1,6,1
1,2,12,1,1989,1,24,1
2,5,48,1,1989,3,22,1
1,2,12,1,1989,5,4,1
2,2,13,1,1989,5,18,1
1,5,48,1,1989,5,24,1
