Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
1,1,1,1,1812,12,19,1
1,4,1,1,1814,2,6,44
2,1,1,1,1820,5,19,13
2,1,1,1,1820,5,19,1
2,1,1,1,1822,5,30,1
1,1,1,1,1822,10,11,39
1,1,1,1,1822,11,15,1
2,1,1,1,1823,5,2,15
1,1,1,1,1823,10,24,1
1,1,1,1,1824,1,2,1
1,1,1,1,1825,2,26,1
2,1,1,2,1825,6,10,1
1,1,1,1,1827,10,5,1
1,1,1,1,1827,11,30,1
2,1,1,1,1827,11,30,2
2,1,1,1,1830,5,15,1
1,1,1,1,1832,1,27,1
2,1,1,1,1833,1,12,1
2,1,1,1,1833,1,12,1
3,1,1,1,1834,12,12,1
1,1,1,1,1834,5,30,1
2,1,1,1,1834,11,4,2
1,1,1,1,1835,2,20,1
2,1,1,1,1835,2,20,1
2,1,1,1,1835,2,20,1
2,1,1,1,1835,2,25,1
2,1,1,1,1835,2,25,1
3,1,1,1,1835,8,15,1
2,1,1,2,1836,1,9,1
2,1,1,1,1836,7,22,1
3,1,1,1,1836,8,9,1
3,1,1,1,1836,11,25,1
3,1,1,1,1836,11,25,1
2,1,1,2,1836,12,20,40
1,1,1,1,1839,6,21,15
2,1,1,1,1840,7,4,1
2,1,1,1,1840,7,4,1
2,1,1,1,1840,7,4,1
2,1,1,1,1839,1,5,1
2,1,1,1,1840,2,5,16
2,1,1,1,1840,2,5,1
1,1,1,1,1840,12,11,1
1,1,1,1,1841,11,26,1
1,1,1,1,1842,1,3,1
1,1,1,1,1842,2,1,1
2,1,1,1,1844,9,27,1
2,1,1,1,1844,9,27,1
1,1,1,1,1845,12,5,1
2,1,1,1,1849,8,12,22
2,1,1,2,1849,12,11,1
2,1,1,1,1850,2,6,22
2,1,1,1,1850,5,11,1
2,1,1,1,1850,11,1,1
2,1,1,1,1850,11,1,1
2,1,1,1,1850,11,1,1
2,1,1,1,1851,5,10,1
2,1,1,1,1851,5,3,16
2,1,1,1,1851,5,2,1
2,1,1,1,1851,5,3,40
2,1,1,1,1851,5,23,1
2,1,1,1,1851,10,17,40
2,1,1,1,1851,10,24,22
2,1,1,1,1852,1,17,1
2,1,1,1,1851,10,31,40
2,1,1,1,1852,4,2,1
2,1,1,1,1852,4,2,1
1,1,1,1,1852,9,3,1
2,1,1,1,1852,4,9,1
2,1,1,1,1853,6,17,1
2,1,1,1,1853,6,17,1
2,1,1,1,1854,1,23,40
2,1,1,1,1855,1,1,40
2,1,1,1,1855,1,18,40
2,1,1,1,1854,7,7,40
2,1,1,1,1854,11,25,40
2,1,1,1,1855,3,31,1
2,1,1,1,1855,11,17,1
2,1,1,1,1855,12,3,43
1,1,1,1,1856,3,21,1
3,1,1,1,1857,11,13,1
2,1,1,1,1857,12,23,1
1,1,1,1,1858,3,5,1
2,1,1,1,1858,7,16,1
2,1,1,1,1858,9,17,1
2,1,1,1,1858,9,27,1
2,1,1,2,1859,11,25,1
2,1,1,1,1859,5,27,40
2,1,1,1,1859,5,27,1
2,1,1,1,1860,4,19,1
1,1,1,1,1860,6,15,1
2,1,1,1,1860,7,13,1
2,1,1,2,1860,7,13,1
1,1,1,1,1860,8,10,1
2,1,1,1,1860,10,19,8
2,1,1,1,1860,10,19,8
2,1,1,1,1860,10,19,8
2,1,1,1,1861,1,29,1
2,1,1,1,1861,2,25,1
2,1,1,1,1861,4,29,1
2,1,1,1,1861,10,23,40
2,1,1,1,1862,3,26,2
1,1,1,1,1862,10,17,1
2,1,1,1,1863,3,24,1
2,1,1,1,1866,4,20,1
2,1,1,1,1866,6,1,1
2,1,1,1,1867,8,23,1
1,1,1,1,1867,11,1,1
2,1,1,1,1869,3,12,10
2,1,1,1,1869,3,12,10
2,1,1,1,1874,1,15,1
2,1,1,1,1874,1,15,1
2,1,1,1,1875,8,6,1
2,1,1,1,1876,4,28,2
2,1,1,1,1876,7,28,1
2,1,1,1,1876,7,28,1
2,1,1,1,1878,3,10,1
2,1,1,1,1878,3,10,1
2,1,1,1,1878,3,10,1
2,1,1,1,1878,3,10,1
2,1,1,1,1878,3,22,1
2,1,1,1,1878,3,22,1
2,1,1,1,1878,3,22,1
2,1,1,1,1878,7,26,1
2,1,1,1,1878,8,23,1
2,1,1,1,1878,11,1,2
2,1,1,1,1879,1,17,1
2,1,1,1,1879,4,25,1
2,1,1,1,1881,6,3,1
2,1,1,1,1881,8,12,2
2,1,1,1,1881,8,26,1
2,1,1,1,1882,3,31,10
2,1,1,1,1882,3,31,10
2,1,1,1,1882,12,15,1
2,1,1,1,1883,3,9,10
2,1,1,1,1883,8,17,1
2,1,1,1,1883,9,7,1
2,1,1,1,1884,6,13,1
1,1,1,1,1884,8,1,16
1,1,1,1,1884,8,1,16
1,1,1,1,1884,8,1,16
2,1,1,1,1884,8,29,2
2,1,1,1,1884,8,29,1
2,1,1,1,1884,8,29,1
2,1,1,1,1885,2,13,1
2,1,1,1,1885,3,13,1
2,1,1,1,1885,8,28,1
2,1,1,1,1885,8,28,1
1,1,1,1,1886,6,26,1
2,1,1,1,1886,10,8,2
2,1,1,1,1887,1,14,1
2,1,1,1,1887,4,8,1
2,1,1,1,1887,4,15,10
2,1,1,1,1887,11,4,1
2,1,1,2,1888,10,12,1
2,1,1,1,1888,11,23,1
2,1,1,1,1889,1,25,1
2,1,1,1,1890,1,3,1
2,1,1,1,1890,1,24,1
2,1,1,1,1890,2,7,1
2,1,1,1,1890,2,21,10
1,1,1,1,1890,2,21,1
1,1,1,1,1890,2,28,1
2,1,1,1,1890,4,18,10
2,1,1,1,1890,5,9,1
2,1,1,1,1890,7,11,1
2,1,1,1,1891,1,16,1
2,1,1,1,1891,5,8,2
2,1,1,1,1891,6,26,1
2,1,1,1,1892,1,22,1
2,1,1,1,1892,3,19,1
2,1,1,1,1892,7,8,1
2,1,1,1,1892,7,24,1
1,1,1,1,1893,1,27,10
2,1,1,1,1893,2,2,1
2,1,1,1,1893,3,3,1
2,1,1,1,1893,3,10,1
2,1,1,1,1893,5,12,1
2,1,1,1,1893,5,26,27
2,1,1,1,1893,5,26,27
2,1,1,1,1893,5,26,27
2,1,1,1,1893,7,7,1
2,1,1,1,1893,9,15,1
2,1,1,1,1893,10,9,2
2,1,1,1,1893,11,21,10
2,1,1,1,1894,1,5,1
2,1,1,1,1894,3,30,1
2,1,1,1,1894,4,20,1
2,1,1,1,1894,5,18,1
2,1,1,1,1894,5,18,1
2,1,1,1,1894,7,13,1
2,1,1,1,1894,7,13,1
2,1,1,1,1894,7,20,1
2,1,1,1,1894,7,20,1
2,1,1,1,1894,7,20,10
2,1,1,1,1894,9,20,1
2,1,1,1,1894,11,16,10
1,1,1,1,1895,2,8,10
2,1,1,1,1895,6,7,1
2,1,1,1,1895,6,7,1
2,1,1,1,1895,6,14,1
2,1,1,1,1895,7,5,1
2,1,1,1,1895,8,2,1
2,1,1,1,1896,1,10,1
2,1,1,1,1896,5,8,1
2,1,1,1,1896,5,9,10
2,1,1,1,1896,8,21,1
2,1,1,1,1896,11,21,1
2,1,1,1,1896,11,28,11
2,1,1,1,1897,2,19,1
1,1,1,1,1897,3,5,1
2,1,1,1,1897,7,30,1
2,1,1,1,1897,9,17,1
2,1,1,1,1897,12,10,1
2,1,1,1,1897,12,10,1
2,1,1,1,1897,12,17,2
2,1,1,1,1898,1,21,1
2,1,1,1,1898,2,25,10
2,1,1,1,1898,9,30,1
2,1,1,1,1899,1,20,1
2,1,1,1,1899,1,20,1
2,1,1,1,1899,2,3,1
2,1,1,1,1899,3,17,1
1,1,1,1,1899,3,31,10
1,1,1,1,1899,3,31,10
2,1,1,1,1899,3,31,10
2,1,1,1,1899,6,30,1
2,1,1,1,1899,8,4,1
2,1,1,1,1899,9,15,2
2,1,1,1,1900,2,9,1
2,1,1,1,1900,5,18,10
2,1,1,1,1900,5,18,10
2,1,1,1,1900,5,18,10
2,1,1,1,1901,5,16,10
2,1,1,1,1901,6,28,1
1,1,1,1,1901,6,28,1
2,1,1,1,1901,9,20,2
2,1,1,1,1901,12,20,1
2,1,1,1,1901,12,20,1
2,1,1,1,1902,1,3,1
2,1,1,1,1902,3,6,1
2,1,1,1,1902,3,28,11
2,1,1,1,1902,5,22,1
2,1,1,1,1902,5,22,1
2,1,1,1,1902,8,22,1
2,1,1,1,1902,9,5,1
2,1,1,1,1902,9,13,1
2,1,1,1,1903,3,13,1
2,1,1,1,1903,3,27,15
2,1,1,1,1903,4,10,1
2,1,1,1,1903,4,24,11
2,1,1,1,1903,7,31,1
2,1,1,1,1903,7,31,1
2,1,1,1,1903,7,31,1
2,1,1,1,1903,8,7,15
2,1,1,1,1903,8,7,15
2,1,1,1,1903,8,21,1
2,1,1,1,1903,9,25,1
2,1,1,1,1903,10,22,1
2,1,1,1,1903,10,30,1
2,1,1,1,1903,10,30,1
2,1,1,1,1903,12,17,1
2,1,1,1,1903,12,31,1
2,1,1,1,1904,3,5,1
2,1,1,1,1904,3,25,1
2,1,1,1,1904,5,13,1
2,1,1,1,1904,5,13,1
2,1,1,1,1904,7,8,1
2,1,1,1,1904,9,8,1
2,1,1,1,1904,9,9,1
2,1,1,1,1904,9,9,1
2,1,1,1,1904,9,9,1
2,1,1,1,1904,10,21,1
1,1,1,1,1904,11,25,1
2,1,1,1,1905,1,14,1
2,1,1,1,1905,3,10,1
2,1,1,1,1905,3,10,1
2,1,1,1,1905,3,24,1
2,1,1,1,1905,6,16,11
2,1,1,1,1905,6,16,11
2,1,1,1,1905,6,16,1
2,1,1,1,1905,6,23,1
2,1,1,1,1905,6,29,1
2,1,1,1,1905,10,5,10
2,1,1,1,1905,10,27,10
2,1,1,1,1905,12,29,1
2,1,1,1,1905,12,29,1
2,1,1,1,1906,3,9,10
2,1,1,1,1906,3,28,1
2,1,1,1,1906,4,6,1
2,1,1,1,1906,4,6,1
2,1,1,1,1906,6,29,10
2,1,1,1,1906,8,10,1
1,1,1,1,1907,3,15,1
1,1,1,1,1907,4,25,10
2,1,1,1,1907,6,21,1
2,1,1,1,1907,7,26,1
2,1,1,1,1907,11,15,2
2,1,1,1,1908,2,10,10
2,1,1,1,1908,5,1,1
2,1,1,1,1909,3,31,15
1,1,1,1,1909,10,22,1
2,1,1,1,1909,10,22,1
1,1,1,1,1909,12,17,1
2,1,1,1,1910,2,4,10
2,1,1,1,1910,3,25,10
2,1,1,1,1910,3,25,10
2,1,1,1,1910,6,9,1
2,1,1,1,1910,6,16,10
2,1,1,1,1910,6,21,1
2,1,1,1,1910,8,13,1
2,1,1,1,1911,6,2,1
2,1,1,1,1911,12,22,2
2,1,1,1,1912,1,12,1
1,1,1,1,1912,2,19,1
2,1,1,1,1912,5,17,1
2,1,1,1,1912,5,31,1
2,1,1,1,1912,7,9,1
2,1,1,1,1912,8,23,1
2,1,1,1,1912,12,13,1
2,1,1,1,1913,1,3,1
2,1,1,1,1913,2,14,2
1,1,1,1,1913,3,21,1
1,1,1,1,1913,3,21,1
1,1,1,1,1913,4,4,1
1,1,1,1,1913,4,4,1
1,1,1,1,1913,4,4,1
2,1,1,1,1913,4,4,1
1,1,1,1,1913,4,4,1
2,1,1,1,1913,6,27,1
2,1,1,1,1914,2,6,1
2,1,1,1,1914,6,26,1
2,1,1,1,1914,6,26,1
2,1,1,1,1914,8,21,1
2,1,1,1,1914,10,30,1
2,1,1,1,1914,10,30,15
2,1,1,1,1914,10,30,15
2,1,1,1,1914,10,30,1
2,1,1,1,1915,3,12,1
2,1,1,1,1915,6,25,1
2,1,1,1,1915,6,25,1
2,1,1,1,1915,7,2,1
1,1,1,1,1915,8,6,1
2,1,1,1,1915,8,6,1
2,1,1,1,1915,8,6,1
2,1,1,1,1915,8,6,1
